Tgl_Masuk,Kota_Domisili,Gaji_Bulanan,Jam_Kerja_Bulanan,Departemen
2021/10/22,Kota_2,11400000.0,153.0,Finance
2021/11/01,Kota_3,6800000.0,165.0,IT
2021/11/11,Kota_17,10900000.0,160.0,Sales
2021/11/21,Kota_2,6200000.0,181.0,IT
2021/12/01,Kota_2,8300000.0,150.0,Sales
2021/12/11,Kota_28,7500000.0,177.0,IT
2021/12/21,Kota_23,6800000.0,154.0,Sales
2021/12/31,Kota_32,9000000.0,150.0,Sales
2022/01/10,Kota_33,8900000.0,162.0,Sales
2022/01/20,Kota_1,7300000.0,165.0,Finance
2022/01/30,Kota_19,4900000.0,189.0,IT
2018/01/01,Kota_29,8500000.0,154.0,Sales
2018/01/11,Kota_15,11000000.0,162.0,IT
2018/01/21,Kota_8,990000000.0,160.0,HR
2018/01/31,Kota_21,5100000.0,171.0,Sales
2018/02/10,Kota_19,6900000.0,189.0,HR
