Tanggal,Shift,Mesin,Jumlah_Produksi,Jumlah_Cacat,Downtime (menit),Suhu_Mesin,Kelembaban
2024-01-28,Malam,D,230,21.0,80.0,90.40096948663111,51.07510592588815
2024-01-29,Malam,D,251,10.0,89.0,67.82585434818084,72.24805119172245
2024-01-30,Malam,D,153,27.0,7.0,93.7127888804214,69.93038761534633
2024-01-31,Siang,B,219,,92.0,60.42540661414357,47.38084077425509
2024-02-01,Malam,B,260,0.0,25.0,93.94575893476737,48.37397293346841
2024-02-02,Siang,C,215,7.0,73.0,61.51059691827017,54.81888411165528
2024-02-03,Siang,D,174,20.0,89.0,91.19000897943249,59.38091940764085
2024-02-04,Malam,B,212,27.0,33.0,78.4695388180205,64.73019086121184
2024-02-05,Siang,C,203,11.0,114.0,94.75376786417552,54.75654558279089
2024-02-06,Malam,D,439,11.0,104.0,62.58287976573896,58.50138864532592
2024-02-07,Malam,A,353,4.0,6.0,79.38489995404623,69.89883752535026
2024-02-08,Pagi,C,326,6.0,67.0,93.92558874666847,41.467328115623914
2024-02-09,Malam,B,211,3.0,57.0,78.3084245459552,50.09747777376083
2024-02-10,Pagi,A,198,5.0,,82.02895233473419,68.5339834353821
2024-02-11,Malam,A,252,12.0,113.0,84.35120411446161,75.80827350748797
2024-02-12,Malam,A,448,19.0,108.0,75.90893726687206,60.467097684626644
2024-02-13,Pagi,C,483,29.0,74.0,81.96453280294222,61.284539410612624
2024-02-14,Pagi,B,465,14.0,28.0,80.4510009173085,44.28688045359104
2024-02-15,Malam,A,437,,119.0,91.54053036718462,57.89649467293819
2024-02-16,Siang,D,293,22.0,35.0,61.59062331195103,61.304690658200926
2024-02-17,Pagi,A,409,7.0,88.0,69.83371163572806,49.698820145389185
2024-02-18,Siang,A,262,19.0,20.0,93.26440194267956,50.76972923797524
2024-02-19,Siang,C,307,15.0,35.0,91.15923243618207,55.091366524184906
2024-02-20,Siang,C,268,12.0,9.0,75.94798634749995,40.802847911109055
2024-02-21,Pagi,B,260,17.0,100.0,81.70464092305379,52.88316662332713
2024-02-22,Siang,D,167,27.0,72.0,69.70834140433965,48.45792027986178
2024-02-23,Pagi,C,388,9.0,23.0,66.58424059033165,53.09989408711658
2024-02-24,Siang,A,497,29.0,63.0,76.22944417289938,44.79048527277005
2024-02-25,Malam,B,376,18.0,98.0,72.36732798091185,75.6210912295958
2024-02-26,Malam,A,403,16.0,48.0,80.42796391478052,63.743698142161946
2024-02-27,Pagi,A,483,23.0,98.0,62.72071229377447,67.16409276577959
2024-02-28,Malam,C,491,18.0,111.0,94.10381826831582,71.56684954429353
2024-02-29,Malam,B,234,27.0,35.0,94.5173760567861,59.93768795716229
2024-03-01,Siang,D,294,,,84.43565999069108,43.47681152349695
2024-03-02,Pagi,D,227,22.0,112.0,78.76337282204422,61.48426167274191
2024-03-03,Siang,C,132,25.0,102.0,70.83346657002147,63.47364472083517
2024-03-04,Siang,C,275,4.0,95.0,88.48282568974321,69.81757896737321
2024-03-05,Siang,B,470,25.0,23.0,83.96559103938577,57.26638184918718
2024-03-06,Siang,D,474,20.0,22.0,65.6915928770712,45.10321211182255
2024-03-07,Siang,D,121,29.0,61.0,91.88245145728449,51.35103623194898
2024-03-08,Siang,D,337,22.0,95.0,88.78880350231091,54.5232918559454
2024-03-09,Siang,A,257,8.0,36.0,93.24299696521734,65.83668965326405
2024-03-10,Pagi,D,137,11.0,11.0,85.40018279359259,62.83113218675648
2024-03-11,Malam,A,329,20.0,112.0,81.46953185775264,54.243869035913846
2024-03-12,Siang,B,464,0.0,54.0,74.63850627017166,79.46060995171919
2024-03-13,Siang,A,150,25.0,12.0,92.64549691739046,64.23099277427548
2024-03-14,Siang,B,363,25.0,22.0,90.3122361325143,49.48907166943978
2024-03-15,Siang,D,382,0.0,88.0,61.58265345371663,44.071298904816146
2024-03-16,Siang,D,126,,98.0,60.92284410740382,46.114365567373284
2024-03-17,Siang,B,325,1.0,104.0,73.17621784073174,49.83830913538033
2024-03-18,Malam,C,376,29.0,29.0,88.36936657736415,46.427254930382226
2024-03-19,Malam,B,385,21.0,16.0,94.55466452602306,47.46268096205223
2024-03-20,Siang,C,196,15.0,112.0,65.26459118862348,51.40380674775388
2024-03-21,Malam,A,383,24.0,,80.79457503732473,46.93494381179019
2024-03-22,Pagi,A,466,7.0,83.0,73.33117998208576,75.87061698505701
2024-03-23,Siang,A,416,12.0,111.0,93.94700392351112,43.20934982646569
2024-03-24,Pagi,D,403,20.0,88.0,89.4741623097498,60.98045558281019
2024-03-25,Pagi,A,246,0.0,85.0,89.34150466488983,56.41587307958646
2024-03-26,Siang,C,103,15.0,12.0,76.40426059282396,79.29514467634425
2024-03-27,Malam,A,134,28.0,58.0,74.51868258181828,44.481556086722094
2024-03-28,Pagi,B,291,6.0,18.0,69.56924751757472,55.91422396182966
2024-03-29,Siang,B,148,4.0,48.0,61.97314238278245,78.77881733101475
2024-03-30,Pagi,D,116,21.0,99.0,90.26528316892686,74.62028503575921
2024-03-31,Pagi,B,271,,11.0,88.45153531955272,72.68288283797119
2024-04-01,Pagi,C,319,22.0,60.0,94.99011856501457,50.316113081797596
2024-04-02,Pagi,A,257,2.0,104.0,94.88228929758668,46.83550349560263
2024-04-03,Malam,D,145,11.0,18.0,79.44010969609195,66.74572879697723
2024-04-04,Pagi,A,472,25.0,75.0,86.91455953131786,77.17503956510343
2024-04-05,Pagi,A,105,15.0,8.0,93.06680054588497,62.27051572055719
2024-04-06,Pagi,C,198,18.0,70.0,89.7376586737094,62.864507578795994
2024-04-07,Malam,B,479,4.0,27.0,68.65718356101192,51.199163746411365
2024-04-08,Pagi,B,332,21.0,77.0,75.76904473585327,70.77971732767747
2024-04-09,Pagi,A,136,24.0,94.0,64.52057953030233,47.48174994230094
2024-04-10,Malam,D,379,28.0,,93.39178595405528,52.947169456169746
2024-04-11,Malam,B,448,13.0,82.0,81.2161122057808,57.01745754465667
2024-04-12,Malam,D,401,27.0,110.0,68.00249819262119,60.3044151473782
2024-04-13,Pagi,B,280,4.0,15.0,83.50952395420498,49.69638929660321
2024-04-14,Malam,D,194,14.0,116.0,81.63448841602636,44.59347298956814
2024-04-15,Malam,C,198,,68.0,72.53569513114942,64.4248016976653
2024-04-16,Pagi,D,287,29.0,98.0,63.974515726987015,51.54522212961023
2024-04-17,Malam,C,215,13.0,11.0,83.50506184574799,63.24952885690449
2024-04-18,Pagi,C,290,29.0,24.0,78.21076953163276,46.17450861096809
2024-04-19,Siang,D,352,19.0,51.0,87.03114371074737,59.2456040741927
2024-04-20,Malam,C,260,4.0,84.0,78.20572253891977,61.30357730206343
2024-04-21,Siang,A,355,11.0,99.0,89.82635251114891,42.07294147289708
2024-04-22,Pagi,C,422,15.0,52.0,79.316739357107,53.46417112775683
2024-04-23,Malam,B,227,25.0,22.0,79.63282900373852,45.376587077558966
2024-04-24,Pagi,D,117,25.0,15.0,90.68287609304207,42.53499881891071
2024-04-25,Siang,A,380,15.0,56.0,74.1219003174339,79.5984092955978
2024-04-26,Pagi,D,322,20.0,38.0,64.69053299577243,52.89415379898892
2024-04-27,Malam,B,153,6.0,108.0,61.00739367096686,72.3949778341854
2024-04-28,Malam,B,157,3.0,52.0,86.42980394857666,50.18562619055055
2024-04-29,Siang,B,422,0.0,41.0,81.71083429737126,67.26010888895718
2024-04-30,Pagi,C,459,,,84.64279188347282,70.40911439558747
2024-05-01,Malam,C,273,29.0,38.0,67.45374565281188,63.82554962431377
2024-05-02,Siang,D,379,4.0,13.0,64.77300164553694,58.863047542006335
2024-05-03,Malam,D,213,22.0,94.0,60.50906329837587,56.47363656589074
2024-05-04,Malam,A,387,25.0,4.0,72.27056455823089,53.95473066171981
2024-05-05,Pagi,A,441,9.0,34.0,80.64711903991216,77.18116576991304
2024-05-06,Malam,D,250,21.0,86.0,73.72854157849063,73.22477631150917
2024-05-07,Pagi,C,226,4.0,92.0,75.31162227083051,78.60107642666051
2024-05-08,Malam,B,254,3.0,106.0,91.6455543072812,44.97188893942179
2024-05-09,Siang,D,485,1.0,74.0,72.18894134581551,69.23469900814577
2024-05-10,Malam,A,372,19.0,17.0,77.98963212059337,77.53361827284152
2024-05-11,Pagi,C,203,9.0,110.0,87.42785544594001,47.2493226466264
2024-05-12,Pagi,D,492,25.0,75.0,73.87899738124446,42.6598506946711
2024-05-13,Siang,D,398,18.0,8.0,81.77303450797558,69.64482597160236
2024-05-14,Malam,C,345,25.0,73.0,90.18272980613608,62.978924527196476
2024-05-15,Malam,D,275,,57.0,93.23322182801748,73.67315107033087
2024-05-16,Siang,C,138,23.0,107.0,65.14757183251633,45.59089506505158
2024-05-17,Malam,B,269,4.0,16.0,92.43056688065231,71.81069247439561
2024-05-18,Malam,C,346,12.0,101.0,77.22407025778384,48.065092801909785
2024-05-19,Pagi,C,125,3.0,6.0,69.03855359046354,46.54623771462818
2024-05-20,Malam,C,454,15.0,,76.06975146833915,46.570631917239716
2024-05-21,Malam,D,405,23.0,12.0,94.3011401349917,72.58298880925528
2024-05-22,Siang,D,112,15.0,39.0,77.24163328975044,66.607888827848
2024-05-23,Siang,C,415,22.0,41.0,71.50630636006278,60.92261699076477
2024-05-24,Pagi,D,490,1.0,8.0,82.1690299010854,54.3532193649401
2024-05-25,Malam,A,412,16.0,49.0,68.40509665723675,75.08802163252433
2024-05-26,Malam,A,135,27.0,26.0,62.65521648380324,55.69780429690542
2024-05-27,Malam,D,272,26.0,65.0,64.51079026687272,72.66397757886308
2024-05-28,Pagi,D,119,19.0,4.0,64.48160436352204,57.56539634280874
2024-05-29,Pagi,C,420,23.0,28.0,65.3165942729303,55.07777717699631
