ID_Pengiriman,Nama_Pemasok,Kota_Asal,Jarak_KM,Moda_Transportasi,Tanggal_Pesan,Tanggal_Tiba_Rencana,Tanggal_Tiba_Aktual,Selisih_Hari,Biaya_Pengiriman_Ribu_Rupiah
DEL-2067,CV Logistik Maju,Medan,922,Kapal Laut,2024-03-08,2024-03-10,,,20007.145794477008
DEL-2068,PT Bina Mandiri,Surabaya,1035,Kereta,2024-03-09,2024-03-13,2024-03-13,0.0,17478.42677868274
DEL-2069,PT Bina Mandiri,Surabaya,755,Kapal Laut,2024-03-10,2024-03-12,2024-03-12,0.0,19161.314033124956
DEL-2070,PT Jaya Teknik,Semarang,368,Truk,2024-03-11,2024-03-17,2024-03-17,0.0,10025.788332305232
DEL-2071,CV Sinar Utama,Surabaya,469,Kereta,2024-03-12,2024-03-19,2024-03-19,0.0,8019.072007296417
DEL-2072,CV Sinar Utama,Bandung,735,Kereta,2024-03-13,2024-03-18,2024-03-18,0.0,17262.19609579978
DEL-2073,CV Logistik Maju,Medan,756,Truk,2024-03-14,2024-03-16,2024-03-17,1.0,18412.03558921663
DEL-2074,CV Sinar Utama,Surabaya,219,Truk,2024-03-15,2024-03-21,2024-03-21,0.0,5464.955026956825
DEL-2075,CV Logistik Maju,Surabaya,930,Kereta,2024-03-16,2024-03-22,2024-03-22,0.0,16348.130760882577
DEL-2076,PT Jaya Teknik,Semarang,1181,Kapal Laut,2024-03-17,2024-03-24,2024-03-24,0.0,19734.734035746114
DEL-2077,PT Bina Mandiri,Semarang,840,Kereta,2024-03-18,2024-03-22,2024-03-22,0.0,15132.041580431604
DEL-2078,PT Bina Mandiri,Bandung,216,Truk,2024-03-19,2024-03-25,2024-03-25,0.0,6188.403694403743
DEL-2079,PT Bina Mandiri,Medan,890,Kereta,2024-03-20,2024-03-26,2024-03-28,2.0,22485.91422931772
DEL-2080,CV Sinar Utama,Semarang,1112,Truk,2024-03-21,2024-03-27,2024-03-27,0.0,19983.59666009439
DEL-2081,PT Jaya Teknik,Surabaya,1181,Kereta,2024-03-22,2024-03-28,2024-03-27,-1.0,21277.606649586356
DEL-2082,CV Sinar Utama,Medan,733,Kapal Laut,2024-03-23,2024-03-26,2024-03-26,0.0,12843.770781858646
DEL-2083,CV Sinar Utama,Medan,612,Kereta,2024-03-24,2024-03-27,2024-03-27,0.0,11976.762670807237
DEL-2084,PT Jaya Teknik,Surabaya,901,Kereta,2024-03-25,2024-03-29,2024-04-01,3.0,21663.16656694359
DEL-2085,PT Jaya Teknik,Semarang,659,Truk,2024-03-26,2024-03-28,2024-03-26,-2.0,13829.463345450591
DEL-2086,PT Jaya Teknik,Surabaya,587,Truk,2024-03-27,2024-04-02,2024-04-01,-1.0,11788.967924483777
DEL-2087,PT Jaya Teknik,Medan,996,Truk,2024-03-28,2024-04-04,2024-04-04,0.0,19078.13089987391
DEL-2088,PT Bina Mandiri,Makassar,803,Kereta,2024-03-29,2024-03-31,2024-03-31,0.0,18508.691273850756
DEL-2089,PT Komponen Utama,Makassar,680,Kapal Laut,2024-03-30,2024-04-06,,,14194.885749533669
DEL-2090,PT Komponen Utama,Bandung,889,Truk,2024-03-31,2024-04-02,2024-03-31,-2.0,21875.33960047349
DEL-2091,PT Jaya Teknik,Surabaya,960,Truk,2024-04-01,2024-04-05,2024-04-07,2.0,17468.540219984203
DEL-2092,PT Komponen Utama,Surabaya,346,Kereta,2024-04-02,2024-04-08,2024-04-06,-2.0,9846.883419761592
DEL-2093,PT Komponen Utama,Bandung,1199,Truk,2024-04-03,2024-04-09,2024-04-11,2.0,25926.123081576174
DEL-2094,PT Jaya Teknik,Bandung,253,Kapal Laut,2024-04-04,2024-04-09,2024-04-07,-2.0,5309.728682039508
DEL-2095,PT Komponen Utama,Bandung,1096,Kapal Laut,2024-04-05,2024-04-12,2024-04-10,-2.0,21887.83707646005
DEL-2096,CV Sinar Utama,Medan,796,Truk,2024-04-06,2024-04-08,2024-04-09,1.0,20123.368567641424
DEL-2097,CV Logistik Maju,Surabaya,1192,Truk,2024-04-07,2024-04-09,2024-04-14,5.0,29624.706779875316
DEL-2098,CV Logistik Maju,Medan,1170,Kereta,2024-04-08,2024-04-11,2024-04-13,2.0,24760.98592159518
DEL-2099,PT Jaya Teknik,Bandung,1108,Kapal Laut,2024-04-09,2024-04-14,2024-04-14,0.0,23717.28549119877
DEL-2100,PT Bina Mandiri,Surabaya,193,Kapal Laut,2024-04-10,2024-04-13,2024-04-16,3.0,6600.47208821807
DEL-2101,PT Jaya Teknik,Medan,1057,Truk,2024-04-11,2024-04-14,2024-04-12,-2.0,22792.319340448368
DEL-2102,PT Bina Mandiri,Medan,1111,Kereta,2024-04-12,2024-04-15,2024-04-20,5.0,18464.925332762086
DEL-2103,CV Logistik Maju,Bandung,552,Kapal Laut,2024-04-13,2024-04-20,2024-04-20,0.0,14529.732998143347
DEL-2104,PT Jaya Teknik,Surabaya,1011,Kapal Laut,2024-04-14,2024-04-21,2024-04-22,1.0,18691.144934341155
DEL-2105,CV Sinar Utama,Bandung,317,Kereta,2024-04-15,2024-04-19,2024-04-21,2.0,7613.403536171534
DEL-2106,PT Komponen Utama,Surabaya,573,Kereta,2024-04-16,2024-04-20,2024-04-21,1.0,10662.581634772418
DEL-2107,PT Bina Mandiri,Makassar,531,Kapal Laut,2024-04-17,2024-04-20,2024-04-20,0.0,9702.286665442849
DEL-2108,PT Komponen Utama,Semarang,440,Kapal Laut,2024-04-18,2024-04-23,2024-04-23,0.0,9367.911040386365
DEL-2109,PT Komponen Utama,Semarang,650,Kereta,2024-04-19,2024-04-21,2024-04-23,2.0,16012.744368191266
DEL-2110,PT Jaya Teknik,Semarang,456,Kapal Laut,2024-04-20,2024-04-27,2024-04-26,-1.0,8719.69762274458
DEL-2111,PT Komponen Utama,Bandung,122,Truk,2024-04-21,2024-04-26,2024-05-01,5.0,2715.1666172973746
DEL-2112,CV Sinar Utama,Makassar,621,Truk,2024-04-22,2024-04-28,,,11139.256756697681
DEL-2113,PT Komponen Utama,Surabaya,901,Kereta,2024-04-23,2024-04-30,2024-04-29,-1.0,20108.26396079601
DEL-2114,PT Jaya Teknik,Medan,861,Kereta,2024-04-24,2024-05-01,2024-05-02,1.0,21822.291455866114
DEL-2115,CV Sinar Utama,Surabaya,541,Kereta,2024-04-25,2024-04-29,2024-04-29,0.0,11252.77104419266
DEL-2116,CV Logistik Maju,Medan,868,Truk,2024-04-26,2024-04-28,2024-04-29,1.0,18829.305437179733
DEL-2117,PT Komponen Utama,Surabaya,1115,Kapal Laut,2024-04-27,2024-04-29,2024-04-30,1.0,28032.192377206822
DEL-2118,PT Jaya Teknik,Makassar,615,Truk,2024-04-28,2024-05-04,2024-05-02,-2.0,14458.826950088178
DEL-2119,CV Logistik Maju,Medan,1139,Kapal Laut,2024-04-29,2024-05-05,2024-05-05,0.0,20871.052443648554
DEL-2120,CV Logistik Maju,Bandung,891,Truk,2024-04-30,2024-05-07,2024-05-10,3.0,17570.23992250777
DEL-2121,PT Bina Mandiri,Surabaya,435,Kapal Laut,2024-05-01,2024-05-04,2024-05-04,0.0,9155.176630388813
DEL-2122,CV Sinar Utama,Surabaya,357,Truk,2024-05-02,2024-05-06,2024-05-06,0.0,7403.4834899769
DEL-2123,PT Komponen Utama,Medan,596,Kereta,2024-05-03,2024-05-07,2024-05-07,0.0,13420.918065312922
DEL-2124,PT Jaya Teknik,Bandung,995,Truk,2024-05-04,2024-05-11,2024-05-11,0.0,24520.419740557507
DEL-2125,PT Bina Mandiri,Bandung,259,Kapal Laut,2024-05-05,2024-05-10,2024-05-10,0.0,6248.336405539165
DEL-2126,CV Sinar Utama,Makassar,951,Truk,2024-05-06,2024-05-09,2024-05-09,0.0,20356.438456785792
DEL-2127,PT Bina Mandiri,Bandung,789,Truk,2024-05-07,2024-05-14,2024-05-13,-1.0,18352.215531742513
DEL-2128,CV Sinar Utama,Bandung,479,Truk,2024-05-08,2024-05-11,2024-05-12,1.0,10450.154657922641
DEL-2129,CV Sinar Utama,Bandung,1056,Kereta,2024-05-09,2024-05-12,2024-05-10,-2.0,26644.989628637017
DEL-2130,PT Komponen Utama,Semarang,790,Truk,2024-05-10,2024-05-13,2024-05-12,-1.0,18345.929192403222
DEL-2131,CV Sinar Utama,Makassar,1166,Kereta,2024-05-11,2024-05-18,2024-05-16,-2.0,22388.55833839227
DEL-2132,PT Bina Mandiri,Surabaya,384,Kereta,2024-05-12,2024-05-16,2024-05-15,-1.0,10041.750144378328
DEL-2133,CV Sinar Utama,Medan,496,Truk,2024-05-13,2024-05-17,2024-05-17,0.0,10634.526451506204
DEL-2134,PT Komponen Utama,Surabaya,111,Truk,2024-05-14,2024-05-17,2024-05-17,0.0,3763.122236120603
DEL-2135,PT Komponen Utama,Makassar,598,Truk,2024-05-15,2024-05-20,,,12413.154087922914
DEL-2136,PT Bina Mandiri,Medan,853,Kapal Laut,2024-05-16,2024-05-18,2024-05-17,-1.0,18416.90755890015
DEL-2137,CV Logistik Maju,Makassar,134,Truk,2024-05-17,2024-05-24,2024-05-26,2.0,5034.607665977514
DEL-2138,CV Logistik Maju,Bandung,826,Kereta,2024-05-18,2024-05-20,2024-05-21,1.0,14574.336891432435
DEL-2139,CV Sinar Utama,Medan,948,Truk,2024-05-19,2024-05-24,2024-05-24,0.0,18599.57462834537
DEL-2140,PT Jaya Teknik,Bandung,189,Kapal Laut,2024-05-20,2024-05-27,2024-05-30,3.0,3946.983642347732
DEL-2141,CV Sinar Utama,Surabaya,875,Truk,2024-05-21,2024-05-24,2024-05-29,5.0,20396.68829971989
DEL-2142,PT Bina Mandiri,Surabaya,704,Kapal Laut,2024-05-22,2024-05-26,2024-05-25,-1.0,14073.54056441833
DEL-2143,PT Bina Mandiri,Medan,1069,Kapal Laut,2024-05-23,2024-05-25,2024-05-25,0.0,26417.429622642318
DEL-2144,PT Bina Mandiri,Medan,1121,Truk,2024-05-24,2024-05-30,2024-06-02,3.0,23390.867643121608
DEL-2145,PT Bina Mandiri,Makassar,517,Kereta,2024-05-25,2024-05-31,2024-06-01,1.0,13027.520308179013
DEL-2146,PT Bina Mandiri,Makassar,214,Kapal Laut,2024-05-26,2024-05-31,2024-05-29,-2.0,6997.9260291568025
DEL-2147,PT Komponen Utama,Bandung,716,Truk,2024-05-27,2024-05-30,2024-05-31,1.0,18370.485055889378
DEL-2148,CV Logistik Maju,Medan,925,Truk,2024-05-28,2024-05-30,2024-06-01,2.0,22477.016202076305
DEL-2149,PT Bina Mandiri,Surabaya,1198,Kereta,2024-05-29,2024-06-01,2024-06-02,1.0,24040.369782025075
