ID_Kejadian,Tanggal_Kejadian,ID_Mesin,Usia_Mesin_Tahun,Penyebab_Downtime,Durasi_Downtime_Menit,Beban_Kerja_Harian_Persen,Shift_Kejadian,Biaya_Perbaikan_Ribu_Rupiah
EV-1086,2024-03-27,M03,7,Kerusakan Mekanis,160,87.75686278368096,Siang,2408.588020860737
EV-1087,2024-03-28,M01,2,Pergantian Alat (Tooling Change),153,81.01547756767323,Siang,3813.999060311253
EV-1088,2024-03-29,M08,8,Kerusakan Elektrikal,66,85.20398840496118,Malam,4704.651566460567
EV-1089,2024-03-30,M03,1,Kekurangan Bahan Baku,48,60.64820807544554,Malam,4665.058308080494
EV-1090,2024-03-31,M03,11,Pergantian Alat (Tooling Change),118,56.818573779338486,Siang,2528.777171318595
EV-1091,2024-04-01,M01,12,Kesalahan Operator,190,50.7272332833941,Siang,1009.5712062833986
EV-1092,2024-04-02,M05,9,Kerusakan Mekanis,51,67.52937794032985,Pagi,4931.785395330506
EV-1093,2024-04-03,M10,9,Kesalahan Operator,195,79.49588434273166,Siang,4275.041389006703
EV-1094,2024-04-04,M07,2,Pergantian Alat (Tooling Change),232,69.61220225498661,Siang,1060.9820654147009
EV-1095,2024-04-05,M10,7,Pergantian Alat (Tooling Change),131,71.87374610118646,Malam,4643.788471778175
EV-1096,2024-04-06,M09,14,Pergantian Alat (Tooling Change),142,95.20793472468742,Siang,
EV-1097,2024-04-07,M07,10,Kesalahan Operator,172,67.41277335116501,Pagi,2834.7712570673243
EV-1098,2024-04-08,M09,3,Pergantian Alat (Tooling Change),224,75.69947445799053,Siang,3160.7394608521818
EV-1099,2024-04-09,M08,7,Kesalahan Operator,230,89.18265063705715,Malam,2295.512167415586
EV-1100,2024-04-10,M02,12,Pergantian Alat (Tooling Change),244,69.8271391160635,Malam,746.427374699141
EV-1101,2024-04-11,M01,10,Kekurangan Bahan Baku,155,81.10433501139367,Siang,2008.387587406554
EV-1102,2024-04-12,M07,9,Pergantian Alat (Tooling Change),248,93.11818543733726,Malam,4112.840518691051
EV-1103,2024-04-13,M07,4,Kesalahan Operator,85,97.47603118288211,Pagi,520.8441035207129
EV-1104,2024-04-14,M08,12,Kerusakan Elektrikal,18,57.3536740464519,Pagi,2000.7462726101487
EV-1105,2024-04-15,M05,1,Pergantian Alat (Tooling Change),83,96.32938125807472,Siang,2291.759121159245
EV-1106,2024-04-16,M03,2,Kerusakan Elektrikal,262,74.6058146539769,Siang,2918.280213220653
EV-1107,2024-04-17,M08,1,Kekurangan Bahan Baku,239,62.91221941494792,Siang,4639.3502738574225
EV-1108,2024-04-18,M06,14,Kerusakan Mekanis,16,72.95678781191307,Malam,
EV-1109,2024-04-19,M03,12,Kekurangan Bahan Baku,183,99.00162876427385,Pagi,2061.2894085330245
EV-1110,2024-04-20,M01,5,Pergantian Alat (Tooling Change),150,74.63090469964348,Pagi,3818.755616493868
EV-1111,2024-04-21,M03,5,Kerusakan Elektrikal,177,66.43758051437541,Malam,2534.9807340041325
EV-1112,2024-04-22,M05,11,Kerusakan Elektrikal,179,81.67004271583629,Pagi,1510.7217032299188
EV-1113,2024-04-23,M03,7,Kesalahan Operator,292,62.00728093890965,Siang,2535.9778225971204
EV-1114,2024-04-24,M01,9,Kerusakan Elektrikal,131,53.7931664054332,Siang,1133.8565917090993
EV-1115,2024-04-25,M05,9,Kesalahan Operator,203,56.44398609553246,Siang,1293.741439278005
EV-1116,2024-04-26,M10,3,Kerusakan Mekanis,14,56.40229194788862,Pagi,2742.654977327659
EV-1117,2024-04-27,M07,3,Pergantian Alat (Tooling Change),38,57.595134675614716,Siang,2385.1645227704657
EV-1118,2024-04-28,M07,3,Kesalahan Operator,174,56.94135863247051,Malam,4616.806554806451
EV-1119,2024-04-29,M09,4,Kerusakan Mekanis,145,82.04373724016074,Malam,2130.772546024849
EV-1120,2024-04-30,M10,8,Kerusakan Elektrikal,154,59.09400421995724,Pagi,
EV-1121,2024-05-01,M10,6,Kerusakan Elektrikal,226,67.28336416619317,Malam,3345.1892956378865
EV-1122,2024-05-02,M03,8,Kerusakan Mekanis,141,94.8394204953006,Malam,558.9250546475014
EV-1123,2024-05-03,M07,1,Kerusakan Elektrikal,79,73.69808201314362,Pagi,3485.918174075198
EV-1124,2024-05-04,M01,8,Kerusakan Mekanis,261,83.37788692605136,Siang,1301.1618509138814
EV-1125,2024-05-05,M04,4,Kesalahan Operator,284,58.61599356008149,Siang,4824.816428612548
EV-1126,2024-05-06,M04,11,Kesalahan Operator,191,59.61445094043354,Siang,1168.9822748890083
EV-1127,2024-05-07,M05,1,Kerusakan Mekanis,176,52.043430813323944,Pagi,2365.808556771607
EV-1128,2024-05-08,M07,8,Kesalahan Operator,100,58.44675315360823,Malam,884.0735063538973
EV-1129,2024-05-09,M07,4,Kesalahan Operator,211,63.92951695159793,Siang,4985.934133306763
EV-1130,2024-05-10,M04,6,Kesalahan Operator,28,58.85052421383734,Siang,2759.8775464905916
EV-1131,2024-05-11,M07,8,Kekurangan Bahan Baku,48,54.43512668785278,Pagi,3179.232577940197
EV-1132,2024-05-12,M03,4,Pergantian Alat (Tooling Change),135,56.03179355503004,Siang,
EV-1133,2024-05-13,M06,14,Kerusakan Elektrikal,182,73.03893840163629,Pagi,3874.8221167963
EV-1134,2024-05-14,M02,3,Kekurangan Bahan Baku,150,60.31668592028963,Malam,1444.575168930136
EV-1135,2024-05-15,M10,14,Kesalahan Operator,251,68.21349305240378,Pagi,4541.244302483212
EV-1136,2024-05-16,M09,9,Kerusakan Mekanis,229,75.17086354274284,Pagi,1423.1283821690322
EV-1137,2024-05-17,M05,3,Kesalahan Operator,135,84.51974143146826,Pagi,1358.0947429864996
EV-1138,2024-05-18,M06,9,Pergantian Alat (Tooling Change),67,51.965606992054944,Pagi,664.473505316427
EV-1139,2024-05-19,M04,13,Kesalahan Operator,157,89.97051994545214,Malam,2624.3012529949965
EV-1140,2024-05-20,M10,2,Kerusakan Mekanis,10,81.39501947454539,Malam,3041.7850996817738
EV-1141,2024-05-21,M07,14,Pergantian Alat (Tooling Change),199,54.08795159744359,Siang,795.6888774275856
EV-1142,2024-05-22,M09,2,Kesalahan Operator,200,93.67893120533887,Malam,3989.8742751275477
EV-1143,2024-05-23,M07,2,Pergantian Alat (Tooling Change),126,96.04362002659066,Malam,2539.7997563661243
EV-1144,2024-05-24,M01,6,Kerusakan Elektrikal,143,53.05389799274319,Siang,
EV-1145,2024-05-25,M01,3,Kerusakan Elektrikal,67,63.843882407360184,Malam,2483.432361222027
EV-1146,2024-05-26,M09,13,Kesalahan Operator,53,90.31006398965306,Pagi,2303.4337739389666
EV-1147,2024-05-27,M09,9,Pergantian Alat (Tooling Change),182,87.41298451918291,Pagi,3018.3814908869804
EV-1148,2024-05-28,M04,4,Kerusakan Mekanis,169,59.226050967818864,Siang,1198.5811066882063
EV-1149,2024-05-29,M09,1,Kesalahan Operator,182,60.467466166835514,Siang,1318.67658722872
