ID_Pengujian,Tanggal_Uji,ID_Sensor,Kategori_Komponen,Suhu_Celcius,Kelembaban_Persen,Tegangan_Volt,Arus_mA
TEST-3068,2024-04-09,SNS-D4,Transistor,19.6,54.4,5.08,40.4
TEST-3069,2024-04-10,SNS-B2,Induktor,27.4,82.8,4.89,33.8
TEST-3070,2024-04-11,SNS-B2,Induktor,23.9,82.8,4.85,28.9
TEST-3071,2024-04-12,SNS-B2,Induktor,28.6,65.8,4.81,26.5
TEST-3072,2024-04-13,SNS-A1,Kapasitor,27.4,68.4,4.94,24.0
TEST-3073,2024-04-14,SNS-B2,Transistor,24.6,60.2,5.04,47.2
TEST-3074,2024-04-15,SNS-A1,Kapasitor,20.8,53.2,4.96,43.2
TEST-3075,2024-04-16,SNS-B2,Kapasitor,17.4,54.8,4.97,48.6
TEST-3076,2024-04-17,SNS-D4,Resistor,22.8,70.3,5.16,15.0
TEST-3077,2024-04-18,SNS-D4,Kapasitor,29.3,73.9,4.94,39.2
TEST-3078,2024-04-19,SNS-C3,Resistor,26.1,75.6,5.01,47.5
TEST-3079,2024-04-20,SNS-D4,Resistor,18.8,75.5,5.11,17.2
TEST-3080,2024-04-21,SNS-C3,Kapasitor,25.9,44.1,4.96,12.7
TEST-3081,2024-04-22,SNS-D4,Transistor,26.9,62.2,5.05,39.6
TEST-3082,2024-04-23,SNS-A1,Transistor,20.6,42.6,5.14,33.0
TEST-3083,2024-04-24,SNS-D4,Transistor,25.8,64.7,5.18,43.7
TEST-3084,2024-04-25,SNS-C3,Transistor,25.3,59.9,4.86,15.6
TEST-3085,2024-04-26,SNS-C3,Transistor,19.3,79.9,5.17,41.8
TEST-3086,2024-04-27,SNS-B2,Kapasitor,26.8,55.8,5.0,18.1
TEST-3087,2024-04-28,SNS-A1,Kapasitor,27.8,45.3,4.9,16.5
TEST-3088,2024-04-29,SNS-D4,Induktor,30.4,46.4,,16.6
TEST-3089,2024-04-30,SNS-B2,Transistor,30.3,74.3,5.19,42.6
TEST-3090,2024-05-01,SNS-D4,Kapasitor,18.1,67.8,5.0,36.6
TEST-3091,2024-05-02,SNS-D4,Induktor,20.3,44.6,4.93,30.9
TEST-3092,2024-05-03,SNS-B2,Transistor,27.6,43.8,5.05,24.4
TEST-3093,2024-05-04,SNS-B2,Resistor,27.6,71.5,4.9,45.1
TEST-3094,2024-05-05,SNS-B2,Induktor,27.6,43.3,4.83,25.7
TEST-3095,2024-05-06,SNS-B2,Kapasitor,44.3,77.0,4.85,42.7
TEST-3096,2024-05-07,SNS-B2,Resistor,27.9,71.8,4.85,27.6
TEST-3097,2024-05-08,SNS-D4,Resistor,30.7,43.7,4.86,25.1
TEST-3098,2024-05-09,SNS-B2,Resistor,29.8,43.8,4.86,28.5
TEST-3099,2024-05-10,SNS-A1,Induktor,28.3,84.4,5.06,22.1
TEST-3100,2024-05-11,SNS-C3,Kapasitor,23.4,56.8,4.87,39.9
TEST-3101,2024-05-12,SNS-B2,Resistor,28.8,56.7,4.94,30.1
TEST-3102,2024-05-13,SNS-B2,Transistor,21.1,76.6,5.16,19.3
TEST-3103,2024-05-14,SNS-D4,Resistor,23.8,82.6,4.99,46.0
TEST-3104,2024-05-15,SNS-B2,Resistor,22.6,84.4,5.07,25.4
TEST-3105,2024-05-16,SNS-B2,Induktor,25.4,73.9,,31.7
TEST-3106,2024-05-17,SNS-B2,Induktor,36.6,56.9,4.88,46.3
TEST-3107,2024-05-18,SNS-D4,Kapasitor,15.7,43.8,4.82,35.0
TEST-3108,2024-05-19,SNS-B2,Transistor,28.4,75.0,4.87,14.7
TEST-3109,2024-05-20,SNS-C3,Induktor,16.9,65.1,4.91,47.6
TEST-3110,2024-05-21,SNS-D4,Resistor,22.6,59.1,4.87,35.1
TEST-3111,2024-05-22,SNS-C3,Kapasitor,30.4,80.8,4.84,23.4
TEST-3112,2024-05-23,SNS-D4,Resistor,25.3,45.0,4.85,15.6
TEST-3113,2024-05-24,SNS-B2,Resistor,19.6,62.2,4.98,41.8
TEST-3114,2024-05-25,SNS-C3,Induktor,21.4,40.5,4.88,34.8
TEST-3115,2024-05-26,SNS-D4,Kapasitor,28.4,61.1,4.95,31.3
TEST-3116,2024-05-27,SNS-A1,Transistor,21.3,42.5,5.0,45.8
TEST-3117,2024-05-28,SNS-B2,Transistor,26.1,45.3,5.08,41.5
TEST-3118,2024-05-29,SNS-D4,Induktor,25.2,45.3,4.82,16.1
TEST-3119,2024-05-30,SNS-A1,Induktor,21.7,69.2,5.12,22.5
TEST-3120,2024-05-31,SNS-D4,Kapasitor,35.7,73.6,5.05,19.9
TEST-3121,2024-06-01,SNS-A1,Transistor,28.2,66.3,4.83,39.8
TEST-3122,2024-06-02,SNS-B2,Transistor,14.9,83.3,5.15,11.3
TEST-3123,2024-06-03,SNS-C3,Transistor,25.9,56.9,5.17,32.8
TEST-3124,2024-06-04,SNS-A1,Resistor,21.7,52.9,4.82,40.5
TEST-3125,2024-06-05,SNS-D4,Transistor,29.3,79.1,4.91,45.1
TEST-3126,2024-06-06,SNS-B2,Resistor,21.0,50.1,5.12,23.7
TEST-3127,2024-06-07,SNS-A1,Kapasitor,24.4,83.3,5.1,42.9
TEST-3128,2024-06-08,SNS-D4,Resistor,27.5,40.5,4.87,14.4
TEST-3129,2024-06-09,SNS-D4,Kapasitor,29.3,83.6,4.88,43.9
TEST-3130,2024-06-10,SNS-D4,Transistor,19.0,41.9,,15.1
TEST-3131,2024-06-11,SNS-A1,Transistor,23.3,80.1,4.99,25.9
TEST-3132,2024-06-12,SNS-A1,Kapasitor,22.6,63.7,5.05,41.9
TEST-3133,2024-06-13,SNS-A1,Induktor,21.7,84.7,4.95,16.0
TEST-3134,2024-06-14,SNS-C3,Kapasitor,33.8,43.3,4.99,19.2
TEST-3135,2024-06-15,SNS-A1,Induktor,27.0,64.9,5.1,38.9
TEST-3136,2024-06-16,SNS-A1,Resistor,18.7,83.6,4.81,38.8
TEST-3137,2024-06-17,SNS-A1,Resistor,29.6,63.5,4.9,35.6
TEST-3138,2024-06-18,SNS-C3,Resistor,35.6,68.3,5.09,37.8
TEST-3139,2024-06-19,SNS-A1,Transistor,30.2,71.3,5.16,31.7
TEST-3140,2024-06-20,SNS-D4,Resistor,17.4,60.5,5.0,20.1
TEST-3141,2024-06-21,SNS-A1,Induktor,22.6,68.2,5.01,23.8
TEST-3142,2024-06-22,SNS-D4,Resistor,31.3,66.3,4.84,17.3
TEST-3143,2024-06-23,SNS-D4,Kapasitor,21.5,80.6,4.98,46.3
TEST-3144,2024-06-24,SNS-D4,Kapasitor,27.2,42.0,5.01,33.3
TEST-3145,2024-06-25,SNS-C3,Transistor,28.9,52.6,4.9,26.0
TEST-3146,2024-06-26,SNS-C3,Kapasitor,20.4,82.8,4.91,28.5
TEST-3147,2024-06-27,SNS-C3,Induktor,24.7,80.1,4.95,47.9
TEST-3148,2024-06-28,SNS-A1,Resistor,8.8,60.5,4.81,16.1
TEST-3149,2024-06-29,SNS-D4,Transistor,19.9,67.9,4.93,33.4
